cluster,leading_singular,second_singular
191,347.8023278298728,
192,79.09608750567688,
193,767.9671950109599,
194,1662.906990889397,
195,582.4599539979326,
196,186.78865061882115,
197,159.1259131991855,
198,1067.2978440316883,
199,614.1535406453349,
200,1118.1085644492236,
201,260.3071413964078,
202,548.5067702676246,
203,40.18556308746846,
204,528.559974245415,
205,416.9860549681686,
206,295.8986052645404,
207,95.07086040178845,
208,92.94897748898853,
209,164.1437853037884,
210,475.4927781482553,
211,128.83247830300382,
212,426.07950569597614,
213,225.3719477912936,
214,37.21925974751428,
215,1767.6791396930405,
216,28.012723782575193,
217,429.85090896568425,
218,375.82789732818753,
219,1996.9896521732985,
220,354.0648762710251,
221,69.53137181213184,
222,97.54216605551957,
223,323.654018443328,
224,311.3410414187371,
225,266.7930036675886,
226,724.304815804574,
227,432.7600416672739,
228,85.64262291476587,
229,261.0095263065054,
230,256.3127354488354,
231,104.26196323563721,
232,49.27792372882434,
233,109.21540182536144,
234,286.7941245534064,
235,1107.7224826011839,
236,15.444914883739623,
237,572.1143117114115,
238,137.25646292725787,
239,1061.7101098125886,
240,24.098755941707555,
241,11.628708854310773,
242,214.85241201737895,
243,121.112722736295,
244,101.75321710581527,
245,918.8317029523387,
246,83.72022692478927,
247,1342.5242524188382,
248,452.17412712211245,
249,191.84545341355658,
250,203.707133274264,
251,110.79386522647906,
252,405.10224555150967,
253,512.6604935653587,
254,471.98043376960914,
255,2149.6110069192277,
256,184.67346047013092,
257,1781.2872899654333,
258,1316.6882343445504,
259,348.65682360482083,
260,27.83235508318786,
261,2130.3259746172953,
262,142.20172685185776,
263,27.002020280834813,
264,202.69564695667987,
265,71.90854509153911,
266,56.28026599330225,
267,700.1266455160448,
268,431.14775863228283,
269,1088.423869478344,
270,127.10955595598496,
271,283.1124898764154,
273,1646.8279022749318,
274,119.29232715434156,
275,156.96424507766926,
276,100.66280345788103,
277,692.2569607193105,
278,123.61073513190858,
279,107.81584053022127,
280,193.45543404657693,
281,306.8447468480122,
282,220.03494578842262,
283,191.45234393968644,
284,176.87853044742158,
285,24.826454210607622,
286,1312.1073880686417,
287,821.8347289037686,
288,55.773780440532946,
289,264.5922059104798,
290,49.03429401607865,
291,51.464614975160494,
292,74.4324240436022,
293,1047.528506290633,
296,93.79091908361089,
297,119.65268667937168,
298,31.919870943715058,
299,45.748585786279,
300,32.99186881528807,
301,111.62380890800853,
302,33.286872967813515,
303,36.83445945568681,
304,272.6444571231919,
305,181.42491559871266,
306,181.56986372259342,
307,68.19530267312537,
308,797.1500360329572,
309,266.1864085360763,
310,29.526688418123705,
311,109.55140307874461,
312,76.72248244681148,
313,206.73220767347567,
314,61.849174959837,
316,19.585362112138146,
318,187.76847445724218,
319,36.77957734463999,
320,144.69455010850055,
321,154.86149323119403,
322,21.46994522723724,
323,193.15698415343144,
324,227.70176741138772,
325,238.2187875318905,
326,192.06377340115438,
327,43.26887435992887,
328,213.21585306913738,
329,70.81016746638107,
330,79.45175374122023,
331,71.56359532885533,
332,298.30372035326,
333,587.3378177444831,
334,838.758713942723,
335,179.19631530541758,
336,651.9288003534605,
337,430.75337652155696,
338,45.78464579998479,
339,180.5378147602394,
340,117.0035452400444,
341,494.9140736458276,
342,28.786028673404573,
343,233.18745144009745,
344,55.07466797506018,
345,370.7682252153984,
346,22.238364978487994,
347,15.02261412219334,
348,42.99999999999996,
349,20053.524632127865,
350,126.33062150474188,
352,87.86349750250861,
354,72.58787777583802,
355,100.29640627409962,
356,27.96034621410822,
357,356.31836488679244,
358,97.19006705623228,
359,132.0662546794013,
360,793.6978050553378,
361,345.1861925530304,
363,54.3770534058942,
365,73.6441452473084,
366,70.31085892365299,
369,118.57165068153532,
370,27.26554710055212,
371,572.3801295681319,
372,36.02297587978337,
373,421.51535147468553,
374,36.20658512066106,
375,100.12938757713661,
376,473.9651171048795,
377,316.8172804630282,
379,763.8555232861587,
380,255.98867960110206,
381,2403.380432564007,
382,115.69760881303908,
383,69.1416790510671,
384,119.00000000000006,
386,64.02303151906933,
387,41.63377388902721,
389,18.02632274290327,
390,1173.7449955801153,
391,11.170853336934922,
392,316.0614888703372,
393,360.0430659492167,
395,81.5781833580523,
396,109.49922104770879,
397,15.499294991321266,
398,29.09152655321248,
399,136.00235506190808,
400,217.447685730249,
404,60.84911106685207,
406,131.24633521931474,
407,109.47603709862685,
408,9.178693822295356,
412,168.4970360037858,
413,38.93977009049822,
414,105.90955208741651,
415,50.79619267278642,
417,19.895388232873078,
419,75.23118856636151,
420,58.26916110808438,
421,11.240247135562475,
424,30.994742164213832,
425,52.345790138395216,
426,326.4086843182839,
428,95.85904507145405,
433,203.4808651231867,
434,33.46384733463023,
440,103.14250359208829,
441,39.13081781849327,
442,52.75631242455202,
444,155.76293158374926,
445,10.246950765959593,
447,24.821475738175295,
449,156.8982696461301,
452,23.15167380558043,
458,78.5588352226509,
459,16.348306219765167,
462,50.05336640515483,
463,22.58708947618578,
466,64.13259382250351,
467,28.729852817680722,
471,73.49829930005184,
472,23.917285261546503,
473,29.147039935379773,
475,110.45271443882385,
476,808.8595407075414,
477,22.848784366525365,
478,29.678714942519296,
481,43.997936186855696,
484,153.75346045869557,
486,342.40757101222715,
491,54.74929835655969,
492,327.5251214425384,
493,1231.331799313248,
494,13.460043940746887,
496,11.15178748809375,
500,16.622592877843775,
501,68.28596325049377,
505,33.18693542099929,
520,26.598237107086096,
521,129.4815584777495,
522,329.4531851056755,
