cluster,leading_importance,second_importance
269,2937739.123294639,
270,4666234.79852227,
271,38236142.96400097,
272,3253.2955412178712,
273,777378.1777230239,
274,591284.902084083,
275,786.9933928124635,
276,184094.2898344867,
277,63410.42315181382,
278,2752.909660134704,
279,1215.7032568904947,
280,266730.377209775,
281,13088.096723523344,
282,1340149228.2102604,
283,1344.014794474379,
284,18937.634522876848,
285,1176954.0710051032,
286,55591.135619162764,
287,1870305.759904365,
288,4286449.377477004,
289,77963.52336329239,
290,23498.626731980567,
291,13496.55167425261,
292,117389.03941633698,
293,48124.30903619156,
294,42165.43334311926,
295,411630.9539381678,
296,19685.47967534195,
297,3196.8820601090597,
298,327910.0442330453,
299,53772.892010131334,
300,933463.4737428883,
301,10216.562154430756,
302,28407.212743057135,
303,2331.7916264325445,
304,590672.1673487131,
305,10216.120209455856,
306,348856.3968035812,
307,1637.4828595611452,
308,427947.4762189359,
309,965556.8873462308,
310,5155.067670409621,
311,867193.6646180586,
312,31327.376238504836,
313,180768.27197137824,
314,238.38356609027684,
315,242404.84170616706,
316,161332.5044129726,
317,49036.057388523375,
318,3301.583724326608,
319,3038.7303311601,
320,50117.65281459027,
321,11271.130357988504,
322,475489.7106020566,
323,1714561.8538221347,
324,159692.0032418763,
325,592568.1249023904,
326,10361.925797421623,
327,46238.54291140677,
328,7977591.77106605,
329,628657.3961211711,
330,8658.573067067824,
331,201.7672015777752,
332,193875.7822472533,
333,483444.1375652252,
334,299692.16851839126,
335,14480.003475119567,
336,708.1107240434606,
337,57440.96962702503,
338,8885.455268871774,
339,24343.61099409266,
340,11936.091402259322,
341,22825.609980481637,
342,180144.59432818022,
343,116.92305161943074,
344,131051.95700288149,
345,3747796.524442192,
346,1070.8878371809787,
347,350.1334732447407,
348,7343968.645101092,
349,48964.62587434838,
350,1525.7341076376347,
351,1931363.4793635607,
352,1031455.858667881,
353,342838.56810835254,
355,188.42020955395435,
356,1005.0401176788492,
357,404658.12075220805,
358,30337.171226140348,
360,73142.25394510731,
361,5339.043849982307,
362,12954.699965926236,
363,1505.6677391251437,
364,456.54227356507926,
365,219179.41296346765,
366,4231.2402553226,
367,15819.930375417776,
368,762704.5737893914,
369,246487.56348099446,
370,2136012.7154461537,
371,157190.3557017883,
372,424.19371358107054,
373,6796.9227767372095,
374,457.17561340011633,
375,1223.4033845906633,
376,270536.00825594744,
377,901.6368882677319,
378,737852.2580186422,
379,608295.7209233576,
380,1306.3635569157814,
381,77.94228634059954,
382,59153.296723676605,
384,22343.391841761986,
385,1504.0253586603183,
386,5549.905480465098,
387,2080465.099041477,
388,4367933.473478634,
389,172595.9891138758,
390,33078.274912122535,
391,867.8958199265643,
392,332182.9033797918,
393,14451.436958698101,
394,423563.3900287771,
395,3663.495489123248,
396,232.13000157678727,
397,42707.35590759044,
398,170283.1405267174,
400,25841.514610209386,
401,16757.1510496189,
402,66148.40214436973,
403,8135.291666668423,
404,3308.114653586213,
405,6401422.082191674,
406,3599.5555531674904,
407,490.3029046522896,
408,29446.738123002273,
409,2356884.5606235433,
410,3628.3169492159104,
411,22797.594696101176,
412,44592.525530735315,
413,865.1059510245562,
414,2457985.5344248386,
415,12816.64322399185,
416,398334.62991205597,
417,1079.425792708689,
418,796.415639676591,
419,281910.1568029197,
420,369.0289360116579,
421,147.26775646429138,
422,8640.035444252142,
423,473800.0213040322,
424,11831.103284818308,
425,10591.866519182862,
426,40780.85504917403,
428,1028.5480977523293,
429,22362.052215347358,
430,5249839.405950245,
432,13783.483702562951,
433,471.7421976611702,
434,35526.324986280844,
435,182022.48084154874,
437,463.732209387644,
438,99.1649813933768,
439,19614189.012769684,
440,24813.77769375697,
441,608.3612441802177,
442,1157.9087802339131,
443,935119.2552176228,
444,290.21644500918916,
445,219287.58613248405,
446,996609.0090395679,
447,1217703.6402053882,
448,4452.1432680161115,
449,153.0579389972729,
450,1321.3393464959347,
451,5662.141905912593,
452,465.7123056813308,
453,263336.4496157974,
454,299471.1437272298,
455,19.208028083073266,
456,244244.1093855468,
457,460328.86848601006,
458,6418.418561084403,
459,4370558.988845018,
460,4448.945420614081,
461,34647.99996879031,
462,67.71561382303638,
463,12684.420866918368,
464,2120.9339604256547,
465,17993329.23598625,
466,25672.78318230116,
467,91.70236318220249,
468,107848.4455759664,
469,161.65553822529958,
470,199971.73086382865,
471,13.419964770054557,
472,34123.78254314367,
473,157.48015748023616,
476,13806.718108978861,
477,369.3067045608903,
478,972.7783647253827,
479,4717.323257212895,
480,711558.5263661644,
481,47595.03861985365,
482,194.17562277041412,
483,1752.2374268346168,
484,6385.304184148473,
485,25534.45179617656,
486,163.9420629368802,
487,294.8784873018693,
489,14514723.854375442,
490,216.1049840782079,
491,1006.4292400022837,
492,54620.1864184739,
493,86.16843969807044,
498,107183.28078391025,
499,4814.051279657877,
500,3906.8885549241036,
501,27027.250010098185,
502,5748.986997383805,
504,157.74230151651034,
505,355120.4698753673,
506,68106.50635980953,
507,150428.6871925265,
508,3457.3211468043605,
509,72.38093671679032,
511,286.31877202600623,
512,392262.31685490266,
513,1602.0131838179047,
514,6146.528515549421,
515,15706.623501621221,
517,5965.843527951487,
518,252171.40064223707,
519,88.33459118601274,
520,305.0572388391673,
521,627.2033076096161,
522,112436.5196313619,
523,9615.71244146262,
524,94.2981490955265,
525,1446.2799859560726,
526,23068.984597267572,
527,2919.096825495126,
528,37220.17716096071,
529,345793.6697076798,
530,9862.827080302672,
531,463.54653062317345,
533,211874.72410011545,
534,2430.7255125015104,
535,7838.643268667344,
537,127.47511825482495,
539,36.00000000000006,
540,253.36382065209423,
541,34529.689503989655,
542,3814900.879647347,
544,7863.231989454786,
545,10244.452259250404,
546,180921.8556071153,
547,43099.806366443096,
549,743.5548251225491,
550,129.9038105676658,
551,145.18415722456723,
552,1040.7727898057296,
554,113.73653766490344,
555,193366.7888706339,
556,10080.249132102532,
557,2804.8016901146975,
558,83685.3183551795,
559,6361.148528543028,
560,1599.999999999999,
561,55263.74518228643,
562,263.60137110822666,
563,4634.686066320205,
564,3306.7989620295734,
565,44.99999999999999,
566,471.11781965873445,
569,749.783968887039,
570,14330.668084958117,
573,4386.869478706688,
574,937.0266998009121,
576,31.461478736137618,
577,30.594117081556703,
578,4515.367237060074,
580,1852.8999017410642,
581,314.22285085588544,
582,16974.963917487432,
583,22.449944320643684,
584,251.31715990490417,
587,183.30670720128688,
588,4634709.287354291,
589,139.28116327231234,
591,846.8065325059351,
592,719.0379732652045,
594,511.2741847169396,
595,28054.618752959253,
597,680.1992740927184,
598,574.7570490314681,
599,85891.54693198993,
600,900120.9355741872,
602,31.13467753346396,
604,8402.302176428078,
605,103.22790320451163,
607,106.61167262536073,
608,81054.76891689752,
611,492.68432574289864,
613,6557.448867977437,
614,14592.017921573975,
620,19581.7444643157,
622,75.11863550505747,
625,2579.988295290989,
626,47.954788429140095,
627,1540.6507818561538,
629,41574.37366444251,
630,10729.83950075861,
634,2750.0596669963475,
637,491379.864378819,
639,160.28776043373267,
642,86.30179604156578,
643,609168.1398796826,
644,62811.0270215168,
645,3717.6203517913377,
646,19.92284246262775,
647,114.15554783198401,
648,3331.264174453895,
649,664.2589036434248,
650,182938.33626092505,
651,725.1337807604889,
652,6397.249408925698,
653,11338.416203482138,
656,2780.507493288354,
657,81.00000000000023,
658,3285.0187402064794,
659,282.4322927712057,
661,151.78932768808212,
663,77561.39980501635,
665,106.7098705871147,
666,11322.03227620544,
668,165.18691136806441,
675,52540.86711527083,
