bank_name,gvkey,iid,datadate,fyear,at,ch,ivst,ist,tdst,lcuacu,lcabg,rcl,teq,seq,ceq,intan,pstk,nicon,npat,total_assets,liquid_assets,gross_loans,loan_loss_allowances,total_equity,shareholder_equity,common_equity,intangible_assets,preferred_equity,net_income,nonperforming_assets,first_trading_date,first_trading_year,market_age
Banco Bilbao Vizcaya Argentaria SA,015181,03W,20221231,2022,713140.0000,6533.0000,67314.0000,110112.0000,112415.0000,358296.0000,20432.0000,,50617.0000,46993.0000,46993.0000,2156.0000,,6420.00000,13506.0000,713140,296374,378728,,50617,46993,46993,2156,,6420,13506,1984-01-02,1984,38
Banco Bilbao Vizcaya Argentaria SA,015181,03W,20231231,2023,775558.0000,7750.0000,73544.0000,121044.0000,142426.0000,372081.0000,24628.0000,11269.0000,55265.0000,51701.0000,51701.0000,2363.0000,,7674.00000,15389.0000,775558,344764,396709,11269,55265,51701,51701,2363,,7674,15389,1984-01-02,1984,39
Banco Bilbao Vizcaya Argentaria SA,015181,03W,20241231,2024,772402.0000,15838.0000,44726.0000,129016.0000,110041.0000,403441.0000,30910.0000,11611.0000,60013.0000,55654.0000,55654.0000,2490.0000,,9666.00000,15060.0000,772402,299621,434351,11611,60013,55654,55654,2490,,9666,15060,1984-01-02,1984,40
Banco Bilbao Vizcaya Argentaria SA,015181,03W,20251231,2025,859576.0000,15981.0000,51719.0000,143477.0000,123668.0000,452527.0000,35113.0000,12297.0000,61796.0000,57355.0000,57355.0000,2855.0000,,10114.00000,15089.0000,859576,334845,487640,12297,61796,57355,57355,2855,,10114,15089,1984-01-02,1984,41
Banco Santander SA,014140,01W,20211231,2021,1595835.0000,210689.0000,33264.0000,144135.0000,135565.0000,921763.0000,54826.0000,22964.0000,97053.0000,86930.0000,86930.0000,16584.0000,,7558.00000,36885.0000,1595835,523653,976589,22964,97053,86930,86930,16584,,7558,36885,1984-01-02,1984,37
Banco Santander SA,014140,01W,20221231,2022,1734659.0000,223073.0000,39500.0000,158833.0000,166885.0000,980312.0000,61893.0000,22684.0000,97585.0000,89104.0000,89104.0000,18645.0000,,9076.00000,37774.0000,1734659,588291,1042205,22684,97585,89104,89104,18645,,9076,37774,1984-01-02,1984,38
Banco Santander SA,014140,01W,20231231,2023,1797062.0000,220342.0000,44184.0000,187890.0000,188108.0000,973643.0000,77999.0000,22788.0000,104241.0000,95423.0000,95423.0000,19871.0000,,10584.00000,,1797062,640524,1051642,22788,104241,95423,95423,19871,,10584,,1984-01-02,1984,39
Banco Santander SA,014140,01W,20241231,2024,1837081.0000,192208.0000,,208727.0000,240239.0000,1022189.0000,71716.0000,22125.0000,107327.0000,98601.0000,98601.0000,19259.0000,,11954.00000,37886.0000,1837081,641174,1093905,22125,107327,98601,98601,19259,,11954,37886,1984-01-02,1984,40
Banco Santander SA,014140,01W,20251231,2025,1867515.0000,152281.0000,,211255.0000,261451.0000,999202.0000,77499.0000,21158.0000,112748.0000,103170.0000,103170.0000,17308.0000,,11937.00000,36880.0000,1867515,624987,1076701,21158,112748,103170,103170,17308,,11937,36880,1984-01-02,1984,41
Banco de Sabadell SA,245436,01W,20211231,2021,251946.5910,1472.1750,47741.0210,22139.4080,2493.0480,157308.2850,6312.8200,3302.0330,12996.2810,12971.3010,12971.3010,2581.4210,,429.64500,6271.2480,251946.591,73845.652,163621.105,3302.033,12996.281,12971.301,12971.301,2581.421,,429.645,6271.248,1984-01-02,1984,37
