bank_name,gvkey,iid,datadate,prccd,ajexdi,trfd,adj_close,ret,prev_adj_close
BNP Paribas SA,015532,04W,2024-03-18,61.36000000,1.00000000,2.70043507,165.6986959,0.00245058,165.6986959
BNP Paribas SA,015532,04W,2024-03-19,62.00000000,1.00000000,2.70043507,167.42697434,0.0104302477,167.42697434
BNP Paribas SA,015532,04W,2024-03-20,61.93000000,1.00000000,2.70043507,167.23794389,-0.001129032,167.23794389
BNP Paribas SA,015532,04W,2024-03-21,62.64000000,1.00000000,2.70043507,169.15525278,0.0114645568,169.15525278
BNP Paribas SA,015532,04W,2024-03-22,62.80000000,1.00000000,2.70043507,169.5873224,0.0025542784,169.5873224
BNP Paribas SA,015532,04W,2024-03-25,62.49000000,1.00000000,2.70043507,168.75018752,-0.004936306,168.75018752
BNP Paribas SA,015532,04W,2024-03-26,64.31000000,1.00000000,2.70043507,173.66497935,0.0291246599,173.66497935
BNP Paribas SA,015532,04W,2024-03-27,64.67000000,1.00000000,2.70043507,174.63713598,0.0055978852,174.63713598
BNP Paribas SA,015532,04W,2024-03-28,65.86000000,1.00000000,2.70043507,177.85065371,0.0184011133,177.85065371
BNP Paribas SA,015532,04W,2024-03-29,65.86000000,1.00000000,2.70043507,177.85065371,0,177.85065371
BNP Paribas SA,015532,04W,2024-04-01,65.86000000,1.00000000,2.70043507,177.85065371,0,177.85065371
BNP Paribas SA,015532,04W,2024-04-02,65.42000000,1.00000000,2.70043507,176.66246228,-0.006680838,176.66246228
BNP Paribas SA,015532,04W,2024-04-03,66.53000000,1.00000000,2.70043507,179.65994521,0.0169672883,179.65994521
BNP Paribas SA,015532,04W,2024-04-04,67.16000000,1.00000000,2.70043507,181.3612193,0.0094694123,181.3612193
BNP Paribas SA,015532,04W,2024-04-05,66.55000000,1.00000000,2.70043507,179.71395391,-0.009082787,179.71395391
BNP Paribas SA,015532,04W,2024-04-08,66.99000000,1.00000000,2.70043507,180.90214534,0.0066115702,180.90214534
BNP Paribas SA,015532,04W,2024-04-09,66.64000000,1.00000000,2.70043507,179.95699306,-0.00522466,179.95699306
BNP Paribas SA,015532,04W,2024-04-10,66.73000000,1.00000000,2.70043507,180.20003222,0.0013505402,180.20003222
BNP Paribas SA,015532,04W,2024-04-11,65.51000000,1.00000000,2.70043507,176.90550144,-0.018282632,176.90550144
BNP Paribas SA,015532,04W,2024-04-12,65.36000000,1.00000000,2.70043507,176.50043618,-0.002289727,176.50043618
BNP Paribas SA,015532,04W,2024-04-15,65.77000000,1.00000000,2.70043507,177.60761455,0.0062729498,177.60761455
BNP Paribas SA,015532,04W,2024-04-16,63.83000000,1.00000000,2.70043507,172.36877052,-0.029496731,172.36877052
BNP Paribas SA,015532,04W,2024-04-17,64.15000000,1.00000000,2.70043507,173.23290974,0.0050133166,173.23290974
BNP Paribas SA,015532,04W,2024-04-18,65.46000000,1.00000000,2.70043507,176.77047968,0.0204208885,176.77047968
BNP Paribas SA,015532,04W,2024-04-19,65.43000000,1.00000000,2.70043507,176.68946663,-0.000458295,176.68946663
BNP Paribas SA,015532,04W,2024-04-22,66.62000000,1.00000000,2.70043507,179.90298436,0.0181873758,179.90298436
BNP Paribas SA,015532,04W,2024-04-23,68.05000000,1.00000000,2.70043507,183.76460651,0.0214650255,183.76460651
BNP Paribas SA,015532,04W,2024-04-24,67.73000000,1.00000000,2.70043507,182.90046729,-0.004702425,182.90046729
BNP Paribas SA,015532,04W,2024-04-25,68.36000000,1.00000000,2.70043507,184.60174139,0.0093016389,184.60174139
BNP Paribas SA,015532,04W,2024-04-26,67.01000000,1.00000000,2.70043507,180.95615404,-0.019748391,180.95615404
BNP Paribas SA,015532,04W,2024-04-29,67.72000000,1.00000000,2.70043507,182.87346294,0.0105954335,182.87346294
BNP Paribas SA,015532,04W,2024-04-30,67.61000000,1.00000000,2.70043507,182.57641508,-0.001624335,182.57641508
BNP Paribas SA,015532,04W,2024-05-01,67.61000000,1.00000000,2.70043507,182.57641508,0,182.57641508
BNP Paribas SA,015532,04W,2024-05-02,67.45000000,1.00000000,2.70043507,182.14434547,-0.002366514,182.14434547
BNP Paribas SA,015532,04W,2024-05-03,67.64000000,1.00000000,2.70043507,182.65742813,0.0028169014,182.65742813
BNP Paribas SA,015532,04W,2024-05-06,68.23000000,1.00000000,2.70043507,184.25068483,0.0087226493,184.25068483
BNP Paribas SA,015532,04W,2024-05-07,69.60000000,1.00000000,2.70043507,187.95028087,0.0200791441,187.95028087
BNP Paribas SA,015532,04W,2024-05-08,69.94000000,1.00000000,2.70043507,188.8684288,0.0048850575,188.8684288
BNP Paribas SA,015532,04W,2024-05-09,70.61000000,1.00000000,2.70043507,190.67772029,0.0095796397,190.67772029
BNP Paribas SA,015532,04W,2024-05-10,71.20000000,1.00000000,2.70043507,192.27097698,0.008355757,192.27097698
BNP Paribas SA,015532,04W,2024-05-13,71.63000000,1.00000000,2.70043507,193.43216406,0.0060393258,193.43216406
BNP Paribas SA,015532,04W,2024-05-14,71.52000000,1.00000000,2.70043507,193.13511621,-0.001535669,193.13511621
BNP Paribas SA,015532,04W,2024-05-15,71.75000000,1.00000000,2.70043507,193.75621627,0.0032158837,193.75621627
BNP Paribas SA,015532,04W,2024-05-16,71.61000000,1.00000000,2.70043507,193.37815536,-0.00195122,193.37815536
BNP Paribas SA,015532,04W,2024-05-17,72.31000000,1.00000000,2.70043507,195.26845991,0.0097751711,195.26845991
BNP Paribas SA,015532,04W,2024-05-20,72.90000000,1.00000000,2.70043507,196.8617166,0.0081593141,196.8617166
BNP Paribas SA,015532,04W,2024-05-21,68.34000000,1.00000000,2.88220274,196.96973525,0.0005487032,196.96973525
BNP Paribas SA,015532,04W,2024-05-22,67.52000000,1.00000000,2.88220274,194.606329,-0.011998829,194.606329
BNP Paribas SA,015532,04W,2024-05-23,67.09000000,1.00000000,2.88220274,193.36698183,-0.006368483,193.36698183
BNP Paribas SA,015532,04W,2024-05-24,67.21000000,1.00000000,2.88220274,193.71284616,0.0017886421,193.71284616
BNP Paribas SA,015532,04W,2024-05-27,67.06000000,1.00000000,2.88220274,193.28051574,-0.002231811,193.28051574
BNP Paribas SA,015532,04W,2024-05-28,67.79000000,1.00000000,2.88220274,195.38452374,0.0108857739,195.38452374
BNP Paribas SA,015532,04W,2024-05-29,66.93000000,1.00000000,2.88220274,192.90582939,-0.012686237,192.90582939
BNP Paribas SA,015532,04W,2024-05-30,67.79000000,1.00000000,2.88220274,195.38452374,0.0128492455,195.38452374
BNP Paribas SA,015532,04W,2024-05-31,67.70000000,1.00000000,2.88220274,195.1251255,-0.001327629,195.1251255
BNP Paribas SA,015532,04W,2024-06-03,68.06000000,1.00000000,2.88220274,196.16271848,0.0053175775,196.16271848
BNP Paribas SA,015532,04W,2024-06-04,66.83000000,1.00000000,2.88220274,192.61760911,-0.018072289,192.61760911
BNP Paribas SA,015532,04W,2024-06-05,66.23000000,1.00000000,2.88220274,190.88828747,-0.008978004,190.88828747
BNP Paribas SA,015532,04W,2024-06-06,66.85000000,1.00000000,2.88220274,192.67525317,0.0093613166,192.67525317
BNP Paribas SA,015532,04W,2024-06-07,66.37000000,1.00000000,2.88220274,191.29179585,-0.007180254,191.29179585
BNP Paribas SA,015532,04W,2024-06-10,63.21000000,1.00000000,2.88220274,182.1840352,-0.047611873,182.1840352
BNP Paribas SA,015532,04W,2024-06-11,60.75000000,1.00000000,2.88220274,175.09381646,-0.038917893,175.09381646
BNP Paribas SA,015532,04W,2024-06-12,61.82000000,1.00000000,2.88220274,178.17777339,0.0176131687,178.17777339
BNP Paribas SA,015532,04W,2024-06-13,60.00000000,1.00000000,2.88220274,172.9321644,-0.029440311,172.9321644
BNP Paribas SA,015532,04W,2024-06-14,58.41000000,1.00000000,2.88220274,168.34946204,-0.0265,168.34946204
BNP Paribas SA,015532,04W,2024-06-17,59.14000000,1.00000000,2.88220274,170.45347004,0.01249786,170.45347004
BNP Paribas SA,015532,04W,2024-06-18,59.46000000,1.00000000,2.88220274,171.37577492,0.0054108894,171.37577492
BNP Paribas SA,015532,04W,2024-06-19,58.71000000,1.00000000,2.88220274,169.21412287,-0.012613522,169.21412287
BNP Paribas SA,015532,04W,2024-06-20,60.11000000,1.00000000,2.88220274,173.2492067,0.0238460228,173.2492067
BNP Paribas SA,015532,04W,2024-06-21,59.33000000,1.00000000,2.88220274,171.00108856,-0.01297621,171.00108856
BNP Paribas SA,015532,04W,2024-06-24,61.27000000,1.00000000,2.88220274,176.59256188,0.0326984662,176.59256188
BNP Paribas SA,015532,04W,2024-06-25,60.56000000,1.00000000,2.88220274,174.54619793,-0.011588053,174.54619793
BNP Paribas SA,015532,04W,2024-06-26,60.25000000,1.00000000,2.88220274,173.65271509,-0.00511889,173.65271509
BNP Paribas SA,015532,04W,2024-06-27,60.02000000,1.00000000,2.88220274,172.98980845,-0.003817427,172.98980845
BNP Paribas SA,015532,04W,2024-06-28,59.53000000,1.00000000,2.88220274,171.57752911,-0.008163945,171.57752911
BNP Paribas SA,015532,04W,2024-07-01,61.67000000,1.00000000,2.88220274,177.74544298,0.0359482614,177.74544298
BNP Paribas SA,015532,04W,2024-07-02,61.23000000,1.00000000,2.88220274,176.47727377,-0.007134749,176.47727377
BNP Paribas SA,015532,04W,2024-07-03,62.73000000,1.00000000,2.88220274,180.80057788,0.0244977952,180.80057788
BNP Paribas SA,015532,04W,2024-07-04,63.92000000,1.00000000,2.88220274,184.23039914,0.0189701897,184.23039914
BNP Paribas SA,015532,04W,2024-07-05,63.66000000,1.00000000,2.88220274,183.48102643,-0.004067584,183.48102643
BNP Paribas SA,015532,04W,2024-07-08,62.54000000,1.00000000,2.88220274,180.25295936,-0.017593465,180.25295936
BNP Paribas SA,015532,04W,2024-07-09,61.07000000,1.00000000,2.88220274,176.01612133,-0.023504957,176.01612133
BNP Paribas SA,015532,04W,2024-07-10,61.62000000,1.00000000,2.88220274,177.60133284,0.0090060586,177.60133284
BNP Paribas SA,015532,04W,2024-07-11,62.02000000,1.00000000,2.88220274,178.75421393,0.0064913989,178.75421393
BNP Paribas SA,015532,04W,2024-07-12,62.44000000,1.00000000,2.88220274,179.96473909,0.006772009,179.96473909
BNP Paribas SA,015532,04W,2024-07-15,62.74000000,1.00000000,2.88220274,180.82939991,0.0048046124,180.82939991
BNP Paribas SA,015532,04W,2024-07-16,62.57000000,1.00000000,2.88220274,180.33942544,-0.002709595,180.33942544
BNP Paribas SA,015532,04W,2024-07-17,63.03000000,1.00000000,2.88220274,181.6652387,0.007351766,181.6652387
BNP Paribas SA,015532,04W,2024-07-18,63.65000000,1.00000000,2.88220274,183.4522044,0.0098365858,183.4522044
BNP Paribas SA,015532,04W,2024-07-19,63.05000000,1.00000000,2.88220274,181.72288276,-0.009426551,181.72288276
BNP Paribas SA,015532,04W,2024-07-22,64.53000000,1.00000000,2.88220274,185.98854281,0.0234734338,185.98854281
BNP Paribas SA,015532,04W,2024-07-23,64.69000000,1.00000000,2.88220274,186.44969525,0.0024794669,186.44969525
BNP Paribas SA,015532,04W,2024-07-24,64.08000000,1.00000000,2.88220274,184.69155158,-0.009429587,184.69155158
BNP Paribas SA,015532,04W,2024-07-25,64.56000000,1.00000000,2.88220274,186.07500889,0.0074906367,186.07500889
BNP Paribas SA,015532,04W,2024-07-26,64.46000000,1.00000000,2.88220274,185.78678862,-0.001548947,185.78678862
BNP Paribas SA,015532,04W,2024-07-29,63.91000000,1.00000000,2.88220274,184.20157711,-0.008532423,184.20157711
BNP Paribas SA,015532,04W,2024-07-30,64.24000000,1.00000000,2.88220274,185.15270402,0.0051635112,185.15270402
BNP Paribas SA,015532,04W,2024-07-31,63.46000000,1.00000000,2.88220274,182.90458588,-0.012141968,182.90458588
BNP Paribas SA,015532,04W,2024-08-01,61.46000000,1.00000000,2.88220274,177.1401804,-0.031515916,177.1401804
BNP Paribas SA,015532,04W,2024-08-02,59.66000000,1.00000000,2.88220274,171.95221547,-0.029287341,171.95221547
