cluster,leading_importance,second_importance
198,16382.013058638304,3034.1430053137665
199,16977.43072070806,407.87229336517464
200,13789.745937852802,3324.109234437931
202,22801.197218571684,619.4347796651668
203,13058.110698354085,329.48532843158006
206,12111.17804542027,1370.3018027680087
212,8505.561091333118,593.6094084101865
226,6907.148680188671,167.18108976695717
229,4940.107806034849,432.2377057931185
234,7228.068748817017,207.5609541322986
250,5697.9268269082,802.2305411785837
261,3575.3053930592782,188.0004713715425
281,3522.8007457579542,373.524565297055
289,3401.683354984735,208.2404564622347
